id,prop_id,person_id,forecast
0,0,0,0.26
1,1,0,0.15
2,2,0,0.0
3,3,0,1.0
4,4,0,1.0
5,5,0,0.9
6,6,0,1.0
7,7,0,0.8
8,8,0,1.0
9,9,0,0.48
10,10,0,0.52
11,11,0,0.0
12,12,0,0.0
13,13,0,1.0
14,14,0,0.2
15,15,0,0.3
16,16,0,0.5
17,17,0,0.65
18,18,0,0.0
19,19,0,1.0
20,20,0,0.0
21,21,0,0.7
22,22,0,0.1
23,23,0,0.0
24,24,0,0.2
25,25,0,0.1
26,26,0,0.87
27,27,0,1.0
28,28,0,0.95
29,29,0,0.68
30,30,0,1.0
31,31,0,0.8
32,32,0,0.95
33,33,0,0.45
34,34,0,0.45
35,35,0,0.45
36,36,0,1.0
37,37,0,1.0
38,38,0,1.0
39,39,0,0.87
40,0,1,0.03
41,1,1,0.65
42,2,1,0.1
43,3,1,0.98
44,4,1,0.9
45,5,1,0.65
46,6,1,0.85
47,7,1,0.8
48,8,1,0.9
49,9,1,0.42
50,10,1,0.53
51,11,1,0.01
52,12,1,0.04
53,13,1,0.15
54,14,1,0.01
55,15,1,0.3
56,16,1,0.55
57,17,1,0.2
58,18,1,0.05
59,19,1,0.15
60,20,1,0.15
61,21,1,0.25
62,22,1,0.35
63,23,1,0.15
64,24,1,0.2
65,25,1,0.3
66,26,1,0.5
67,27,1,0.85
68,28,1,0.8
69,29,1,0.72
70,30,1,0.4
71,31,1,0.8
72,32,1,0.65
73,33,1,0.1
74,34,1,0.05
75,35,1,0.15
76,36,1,0.85
77,37,1,0.45
78,38,1,0.9
79,39,1,0.93
80,0,2,0.0
81,1,2,0.1
82,2,2,0.0
83,3,2,1.0
84,4,2,1.0
85,5,2,0.2
86,6,2,1.0
87,7,2,1.0
88,8,2,1.0
89,9,2,0.4
90,10,2,0.4
91,11,2,0.1
92,12,2,0.1
93,13,2,0.75
94,14,2,0.0
95,15,2,0.75
96,16,2,0.8
97,17,2,1.0
98,18,2,0.2
99,19,2,1.0
100,20,2,0.9
101,21,2,1.0
102,22,2,0.5
103,23,2,0.2
104,24,2,0.1
105,25,2,0.2
106,26,2,0.95
107,27,2,0.9
108,28,2,0.6
109,29,2,1.0
110,30,2,0.25
111,31,2,1.0
112,32,2,0.1
113,33,2,0.3
114,34,2,0.3
115,35,2,0.3
116,36,2,1.0
117,37,2,0.5
118,38,2,0.9
119,39,2,0.9
120,0,3,0.01
121,1,3,0.05
122,2,3,0.0
123,3,3,0.95
124,4,3,0.95
125,5,3,0.9
126,6,3,0.9
127,7,3,0.9
128,8,3,0.8
129,9,3,0.5
130,10,3,0.5
131,11,3,0.05
132,12,3,0.05
133,13,3,0.05
134,14,3,0.001
135,15,3,0.6
136,16,3,0.6
137,17,3,0.03
138,18,3,0.1
139,19,3,0.7
140,20,3,0.02
141,21,3,1.0
142,22,3,0.89
143,23,3,0.0
144,24,3,0.2
